,S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,Market Cap-to-Sales Ratio
0,1,Reliance Inds.,583436.72,99810.0,5.845473599839695
1,2,TCS,563709.84,30904.0,18.24067564069376
2,3,HDFC Bank,482953.59,20581.27,23.465684576316235
3,4,ITC,320985.27,9772.02,32.847381605850174
4,5,H D F C,289497.37,16840.51,17.190534609700062
5,6,Hind. Unilever,288265.26,8590.0,33.558237485448196
6,7,Maruti Suzuki,263493.81,19283.2,13.664423435944242
7,8,Infosys,248320.35,17794.0,13.95528548949084
8,9,O N G C,239981.5,22995.88,10.435847638794428
9,10,St Bk of India,232763.33,57014.08,4.082558729352469
10,11,ICICI Bank,203802.35,13665.35,14.913803890862656
11,12,Kotak Mah. Bank,199253.77,6390.71,31.178659335191238
12,13,Coal India,192677.98,21643.28,8.902439001851846
13,14,Larsen & Toubro,180860.74,28747.45,6.291366364668866
14,15,I O C L,178017.48,110666.93,1.6085878590831066
15,16,Bharti Airtel,167131.29,20318.6,8.225531778764285
16,17,Axis Bank,136380.76,11721.55,11.635044853283057
17,18,NTPC,135390.53,20774.37,6.51719065367566
18,19,Sun Pharma.Inds.,134241.36,6653.23,20.176870482457392
19,20,Hind.Zinc,133266.56,5922.0,22.503640661938533
20,21,Wipro,131840.57,13669.0,9.64522423000951
21,22,HCL Technologies,126335.27,12809.0,9.863008041221017
22,23,Vedanta,122184.17,24361.0,5.015564631993761
23,24,Tata Motors,117071.87,74156.07,1.5787226858165486
24,25,UltraTech Cem.,113692.87,8019.24,14.177511834039136
25,26,Asian Paints,108044.04,4260.52,25.35935519607935
26,27,Power Grid Corpn,102016.01,7506.95,13.589541691366
27,28,B P C L,98278.0,60616.36,1.6213114743280528
28,29,IndusInd Bank,97379.96,4286.78,22.716341869655082
29,30,Bajaj Fin.,94476.77,3540.63,26.6836043303028
30,31,Bajaj Auto,88252.6,6369.34,13.855846916635006
31,32,M & M,88142.35,11577.78,7.613061398644645
32,33,HDFC Stand. Life,87358.23,9734.9,8.973716216910292
33,34,Adani Ports,81781.89,2688.85,30.415192368484668
34,35,Bajaj Finserv,79795.11,7665.4,10.409777702403007
35,36,GAIL (India),78670.97,14414.34,5.457826719780441
36,37,Avenue Super.,74066.35,4094.82,18.087815825848267
37,38,Titan Company,73886.0,4274.84,17.28392173742175
38,39,JSW Steel,73870.26,17861.0,4.135841218296847
39,40,Grasim Inds,73532.62,15291.42,4.808750266489312
40,41,Tata Steel,73376.14,32464.14,2.2602212780008957
41,42,Eicher Motors,73311.41,2269.01,32.30986641751248
42,43,Nestle India,73015.49,2601.46,28.06712000184512
43,44,Godrej Consumer,71859.82,2630.3,27.320009124434478
44,45,Yes Bank,71028.13,5070.3,14.008664181606612
45,46,Hero Motocorp,69448.66,7305.49,9.506365760544467
46,47,Motherson Sumi,68590.33,14397.85,4.76392864212365
47,48,SBI Life Insuran,67465.0,9569.97,7.049656373008484
48,49,General Insuranc,66316.32,8557.68,7.749333931626329
49,50,Bharti Infra.,61776.92,0.0,0.0
50,51,Dabur India,60015.0,1966.44,30.519619210349667
51,52,Bosch,59204.28,3071.92,19.27272845647022
52,53,Shree Cement,58987.08,2296.23,25.688663592061772
53,54,New India Assura,58108.48,5074.02,11.452158249277693
54,55,H P C L,58034.78,57474.25,1.0097527153464376
55,56,ICICI Pru Life,57748.98,13555.32,4.260244686219138
56,57,Britannia Inds.,56837.2,2567.48,22.13734868431302
57,58,Tech Mahindra,56244.26,7775.96,7.233095334852546
58,59,Hindalco Inds.,55854.68,11022.81,5.067190670981356
59,60,Zee Entertainmen,54817.89,1838.07,29.82361389936183
60,61,Cairn India,53528.57,2149.36,24.90442271187702
61,62,Indiabulls Hous.,52781.67,3115.89,16.93951647843794
62,63,Ambuja Cem.,52361.46,6170.71,8.485483842215887
63,64,Interglobe Aviat,48621.37,6177.88,7.870235420564984
64,65,Cipla,48577.43,3913.82,12.411769064494534
65,66,Piramal Enterp.,47483.97,2858.36,16.612312654809053
66,67,United Spirits,46725.05,2263.3,20.64465603322582
67,68,Pidilite Inds.,45855.5,1542.9,29.720331842634
68,69,Siemens,44239.04,2429.5,18.209112986211156
69,70,Cadila Health.,41876.19,3259.6,12.84703337832863
70,71,NMDC,41415.33,2469.03,16.773927412789636
71,72,DLF,40159.35,1693.72,23.71073731195239
72,73,Marico,39813.84,1337.59,29.76535410701336
73,74,Ashok Leyland,39047.57,7113.16,5.48948287399693
74,75,Bharat Electron,37776.23,2512.82,15.033400721102188
75,76,ICICI Lombard,37219.22,2110.99,17.631168314392774
76,77,Lupin,36878.85,3975.62,9.276251251377143
77,78,Petronet LNG,36615.0,7757.06,4.720216164371553
78,79,Aditya Birla Cap,36215.92,3325.02,10.891940499606017
79,80,Dr Reddy's Labs,35893.55,3834.1,9.361662450118672
81,82,S A I L,35729.04,15323.65,2.331627255908351
82,83,UPL,35349.58,4194.0,8.4286075345732
83,84,Oracle Fin.Serv.,34620.19,1059.12,32.68769355691518
84,85,Bharat Forge,34397.69,1390.55,24.736751645032545
85,86,Biocon,34347.0,1057.9,32.467151904716886
86,87,B H E L,34162.38,6626.35,5.155535098508228
87,88,Aurobindo Pharma,33676.52,4336.11,7.766528063171829
88,89,Bank of Baroda,33364.23,11303.24,2.951740385942438
89,90,Idea Cellular,33047.33,6509.6,5.076706710089714
90,91,A B B,31983.33,2779.4,11.507278549327193
91,92,Havells India,31798.18,1965.77,16.17594123422374
92,93,Container Corpn.,31450.56,1639.55,19.182434204507334
93,94,TVS Motor Co.,30919.51,3684.95,8.390754284318648
